"","Id","TotalSteps","TotalDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","TotalMinutesAsleep","TotalTimeInBed","WeightPounds"
"1",1503960366,13162,8.5,1.87999999523163,0.550000011920929,6.05999994277954,0,25,13,328,728,1985,327,346,NA
"2",1503960366,10735,6.96999979019165,1.57000005245209,0.689999997615814,4.71000003814697,0,21,19,217,776,1797,384,407,NA
"3",1503960366,10460,6.73999977111816,2.44000005722046,0.400000005960464,3.91000008583069,0,30,11,181,1218,1776,NA,NA,NA
"4",1503960366,9762,6.28000020980835,2.14000010490417,1.25999999046326,2.82999992370605,0,29,34,209,726,1745,412,442,NA
"5",1503960366,12669,8.15999984741211,2.71000003814697,0.409999996423721,5.03999996185303,0,36,10,221,773,1863,340,367,NA
"6",1503960366,9705,6.48000001907349,3.19000005722046,0.779999971389771,2.50999999046326,0,38,20,164,539,1728,700,712,NA
"7",1503960366,13019,8.59000015258789,3.25,0.639999985694885,4.71000003814697,0,42,16,233,1149,1921,NA,NA,NA
"8",1503960366,15506,9.88000011444092,3.52999997138977,1.32000005245209,5.03000020980835,0,50,31,264,775,2035,304,320,NA
"9",1503960366,10544,6.67999982833862,1.96000003814697,0.479999989271164,4.23999977111816,0,28,12,205,818,1786,360,377,NA
"10",1503960366,9819,6.34000015258789,1.3400000333786,0.349999994039536,4.65000009536743,0,19,8,211,838,1775,325,364,NA
"11",1503960366,12764,8.13000011444092,4.76000022888184,1.12000000476837,2.24000000953674,0,66,27,130,1217,1827,NA,NA,NA
"12",1503960366,14371,9.03999996185303,2.80999994277954,0.870000004768372,5.3600001335144,0,41,21,262,732,1949,361,384,NA
"13",1503960366,10039,6.40999984741211,2.92000007629395,0.209999993443489,3.27999997138977,0,39,5,238,709,1788,430,449,NA
"14",1503960366,15355,9.80000019073486,5.28999996185303,0.569999992847443,3.94000005722046,0,73,14,216,814,2013,277,323,NA
"15",1503960366,13755,8.78999996185303,2.32999992370605,0.920000016689301,5.53999996185303,0,31,23,279,833,1970,245,274,NA
"16",1503960366,18134,12.210000038147,6.40000009536743,0.409999996423721,5.40999984741211,0,78,11,243,1108,2159,NA,NA,NA
"17",1503960366,13154,8.52999973297119,3.53999996185303,1.1599999666214,3.78999996185303,0,48,28,189,782,1898,366,393,NA
"18",1503960366,11181,7.15000009536743,1.05999994277954,0.5,5.57999992370605,0,16,12,243,815,1837,341,354,NA
"19",1503960366,14673,9.25,3.55999994277954,1.41999995708466,4.26999998092651,0,52,34,217,712,1947,404,425,NA
"20",1503960366,10602,6.80999994277954,2.28999996185303,1.60000002384186,2.92000007629395,0,33,35,246,730,1820,369,396,NA
"21",1503960366,12207,7.76999998092651,3.34999990463257,1.1599999666214,3.25999999046326,0,46,31,214,746,1859,383,403,NA
"22",1503960366,12770,8.13000011444092,2.55999994277954,1.00999999046326,4.55000019073486,0,36,23,251,669,1783,285,306,NA
"24",1503960366,14727,9.71000003814697,3.21000003814697,0.569999992847443,5.92000007629395,0,41,15,277,798,2004,277,309,115.963146545323
"25",1503960366,15103,9.65999984741211,3.73000001907349,1.04999995231628,4.88000011444092,0,50,24,254,816,1990,273,296,115.963146545323
"26",1503960366,11100,7.15000009536743,2.46000003814697,0.870000004768372,3.8199999332428,0,36,22,203,1179,1819,NA,NA,NA
"27",1503960366,14070,8.89999961853027,2.92000007629395,1.08000004291534,4.88000011444092,0,45,24,250,857,1959,247,264,NA
"28",1503960366,12159,8.02999973297119,1.97000002861023,0.25,5.80999994277954,0,24,6,289,754,1896,334,367,NA
"29",1503960366,11992,7.71000003814697,2.46000003814697,2.11999988555908,3.13000011444092,0,37,46,175,833,1821,331,349,NA
"30",1503960366,10060,6.57999992370605,3.52999997138977,0.319999992847443,2.73000001907349,0,44,8,203,574,1740,594,611,NA
"31",1503960366,12022,7.71999979019165,3.45000004768372,0.529999971389771,3.74000000953674,0,46,11,206,835,1819,338,342,NA
"32",1624580081,8163,5.30999994277954,0,0,5.30999994277954,0,0,0,146,1294,1432,NA,NA,NA
"33",1624580081,7007,4.55000019073486,0,0,4.55000019073486,0,0,0,148,1292,1411,NA,NA,NA
"34",1624580081,9107,5.92000007629395,0,0,5.90999984741211,0.00999999977648258,0,0,236,1204,1572,NA,NA,NA
"35",1624580081,1510,0.980000019073486,0,0,0.970000028610229,0,0,0,96,1344,1344,NA,NA,NA
"36",1624580081,5370,3.49000000953674,0,0,3.49000000953674,0,0,0,176,1264,1463,NA,NA,NA
"37",1624580081,6175,4.05999994277954,1.02999997138977,1.51999998092651,1.49000000953674,0.00999999977648258,15,22,127,1276,1554,NA,NA,NA
"38",1624580081,10536,7.40999984741211,2.15000009536743,0.620000004768372,4.61999988555908,0.00999999977648258,17,7,202,1214,1604,NA,NA,NA
"39",1624580081,2916,1.89999997615814,0,0,1.89999997615814,0,0,0,141,1299,1435,NA,NA,NA
"40",1624580081,4974,3.23000001907349,0,0,3.23000001907349,0,0,0,151,1289,1446,NA,NA,NA
"41",1624580081,6349,4.13000011444092,0,0,4.1100001335144,0.0199999995529652,0,0,186,1254,1467,NA,NA,NA
"42",1624580081,4026,2.61999988555908,0,0,2.59999990463257,0,0,0,199,1241,1470,NA,NA,NA
"43",1624580081,8538,5.55000019073486,0,0,5.53999996185303,0.00999999977648258,0,0,227,1213,1562,NA,NA,NA
"44",1624580081,6076,3.95000004768372,1.14999997615814,0.910000026226044,1.88999998569489,0,16,18,185,1221,1617,NA,NA,NA
"45",1624580081,6497,4.21999979019165,0,0,4.19999980926514,0.0199999995529652,0,0,202,1238,1492,NA,NA,NA
"46",1624580081,2826,1.8400000333786,0,0,1.83000004291534,0.00999999977648258,0,0,140,1300,1402,NA,NA,NA
"47",1624580081,8367,5.44000005722046,1.11000001430511,1.87000000476837,2.46000003814697,0,17,36,154,1233,1670,NA,NA,NA
"48",1624580081,2759,1.78999996185303,0,0.200000002980232,1.60000002384186,0,0,5,115,1320,1401,NA,NA,NA
"49",1624580081,2390,1.54999995231628,0,0,1.54999995231628,0,0,0,150,1290,1404,NA,NA,NA
"50",1624580081,6474,4.30000019073486,0.899999976158142,1.27999997138977,2.11999988555908,0.00999999977648258,11,23,224,1182,1655,NA,NA,NA
"51",1624580081,36019,28.0300006866455,21.9200000762939,4.19000005722046,1.9099999666214,0.0199999995529652,186,63,171,1020,2690,NA,NA,NA
"52",1624580081,2969,1.92999994754791,0,0,1.91999995708466,0.00999999977648258,0,0,139,1301,1393,NA,NA,NA
"53",1624580081,3134,2.03999996185303,0,0,2.03999996185303,0,0,0,112,1328,1359,NA,NA,NA
"54",1624580081,2971,1.92999994754791,0,0,1.91999995708466,0.00999999977648258,0,0,107,890,1002,NA,NA,NA
"55",1624580081,7155,4.92999982833862,0.860000014305115,0.589999973773956,3.47000002861023,0,7,6,166,1261,1497,NA,NA,NA
"56",1624580081,2100,1.37000000476837,0,0,1.3400000333786,0.0199999995529652,0,0,96,1344,1334,NA,NA,NA
"57",1624580081,2193,1.42999994754791,0,0,1.41999995708466,0,0,0,118,1322,1368,NA,NA,NA
"58",1624580081,2470,1.61000001430511,0,0,1.58000004291534,0.0199999995529652,0,0,117,1323,1370,NA,NA,NA
